Note:
Results of the csv export.
If more than one entry per data field is available for a strain, the export contains multiple lines per strain.
At the end of the line you find the reference for each exported entry.


Export with Textmined data

strains.ID_strains;strains.Culture collection no.;strains.Species;strains.Strain Designation;strains_tax_PNU.Species (PNU);strains_tax_PNU.ID_reference
"221";"DSM 20340, ATCC 11563, CCM 1914, IAM 13649, JCM 20461, NCDO 1225, NCTC 8251, WDCM 00061, CCUG 4311";"Aerococcus viridans";"M1";"Aerococcus viridans";"20215";

"141213";"CCUG 216, NCTC 7596";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"152648";"CCUG 47285";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"152995";"CCUG 48207";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"153337";"CCUG 49267";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"153754";"CCUG 50864";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"153763";"CCUG 50877";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"154056";"CCUG 52146";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"156988";"CCUG 68221";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"153694";"CCUG 50665 B";"Aerococcus viridans";"";"Aerococcus viridans";"20215";

"153674";"CCUG 50609";"Afipia broomeae";"";"Afipia broomeae";"20215";

"146149";"CCUG 30462";"Afipia sp.";"";"Afipia sp.";"20215";

"11752";"DSM 8324, ATCC 33384, CCUG 13227, CIP 52.106, NCTC 9710";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"11753";"DSM 11122, ATCC 29524, NCTC 10982";"Aggregatibacter actinomycetemcomitans";"CDC B5386";"Aggregatibacter actinomycetemcomitans";"20215";

"11754";"DSM 11123, ATCC 43718";"Aggregatibacter actinomycetemcomitans";"Y4";"Aggregatibacter actinomycetemcomitans";"20215";

"142454";"CCUG 12604";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"148215";"CCUG 35054";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"148975";"CCUG 36666";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"149178";"CCUG 37000";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"149857";"CCUG 38565";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"152464";"CCUG 46863";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153109";"CCUG 48512";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153923";"CCUG 51667";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153924";"CCUG 51668";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153925";"CCUG 51669";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153926";"CCUG 51670";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153927";"CCUG 51671";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153928";"CCUG 51672";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"153929";"CCUG 51673";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"155035";"CCUG 56172";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"155036";"CCUG 56173";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"156322";"CCUG 61155";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"155609";"CCUG 58363";"Aggregatibacter actinomycetemcomitans";"";"Aggregatibacter actinomycetemcomitans";"20215";

"135780";"CIP 70.73, ATCC 33389, CCUG 3715, NCTC 5906";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"147819";"CCUG 34290, ATCC 7901";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"148161";"CCUG 34940";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"148946";"CCUG 36623";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"149849";"CCUG 38553";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"149850";"CCUG 38554";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"149851";"CCUG 38555";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"149852";"CCUG 38556";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"151187";"CCUG 43422";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"152458";"CCUG 46846";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"152874";"CCUG 47840";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"153099";"CCUG 48491";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"153563";"CCUG 50189";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"153907";"CCUG 51586";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"153908";"CCUG 51587";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"153909";"CCUG 51588";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"153910";"CCUG 51589";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"154998";"CCUG 56014";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"155044";"CCUG 56235";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"155122";"CCUG 56524";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"155596";"CCUG 58292";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"155752";"CCUG 59211";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"155939";"CCUG 59699";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"156130";"CCUG 60485";"Aggregatibacter aphrophilus";"";"Aggregatibacter aphrophilus";"20215";

"157204";"CCUG 70536";"Aggregatibacter kilianii";"";"Aggregatibacter kilianii";"20215";

"11755";"DSM 21418, ATCC 33393, CCUG 10787, CCUG 12838, CIP 103292, KCTC 5968, NCTC 10977";"Aggregatibacter segnis";"HK316";"Aggregatibacter segnis";"20215";

"148067";"CCUG 34757";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"149853";"CCUG 38557";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"151955";"CCUG 45340";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"152406";"CCUG 46700";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"152822";"CCUG 47710";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153213";"CCUG 48771";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153476";"CCUG 49706";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153968";"CCUG 51796";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153971";"CCUG 51799";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"154596";"CCUG 54525";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"155355";"CCUG 57436";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"156666";"CCUG 63997";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153966";"CCUG 51794";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153967";"CCUG 51795";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153969";"CCUG 51797";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153970";"CCUG 51798";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"154314";"CCUG 53043 A";"Aggregatibacter segnis";"";"Aggregatibacter segnis";"20215";

"153950";"CCUG 51734";"Agrococcus lahaulensis";"";"Agrococcus lahaulensis";"20215";

"155824";"CCUG 59406";"Agrococcus lahaulensis";"";"Agrococcus lahaulensis";"20215";

"132611";"DSM 101731, LMG 29235";"Agromyces aureus";"AR33";"Agromyces aureus";"20215";

"7260";"DSM 43045, ATCC 25173, KCC A-0108";"Agromyces ramosus";"PSU 38L";"Agromyces ramosus";"20215";

"156418";"CCUG 61641";"Alcanivorax dieselolei";"";"Alcanivorax dieselolei";"20215";

"440";"DSM 16032, ATCC BAA 284, CCUG 30811, CIP 106648";"Alishewanella fetalis";"";"Alishewanella fetalis";"20215";

"22946";"DSM 25751, JCM 18271";"Alkalibacterium gilvum";"3AD-1";"Alkalibacterium gilvum";"20215";

"22947";"DSM 25752";"Alkalibacterium gilvum";"4BE-1";"Alkalibacterium gilvum";"20215";

"22948";"DSM 25753";"Alkalibacterium gilvum";"1AD-2";"Alkalibacterium gilvum";"20215";

"22949";"DSM 25754";"Alkalibacterium gilvum";"5AE-1";"Alkalibacterium gilvum";"20215";

"22950";"DSM 25755";"Alkalibacterium gilvum";"15BE-3";"Alkalibacterium gilvum";"20215";

"22951";"DSM 25757";"Alkalibacterium gilvum";"3AE-1";"Alkalibacterium gilvum";"20215";

"22952";"DSM 25758";"Alkalibacterium gilvum";"4AD-1";"Alkalibacterium gilvum";"20215";

"22953";"DSM 25759";"Alkalibacterium gilvum";"5AD-1";"Alkalibacterium gilvum";"20215";

"22954";"DSM 25760";"Alkalibacterium gilvum";"5BE-1";"Alkalibacterium gilvum";"20215";

"2243";"DSM 19180, NBRC 103247, NRIC 0724";"Alkalibacterium kapii";"T22-1-2";"Alkalibacterium kapii";"20215";

"2246";"DSM 19183, NBRC 103242, NRIC 0719";"Alkalibacterium pelagium";"T143-1-1";"Alkalibacterium pelagium";"20215";

"2245";"DSM 19182, NBRC 103243, NRIC 0720";"Alkalibacterium putridalgicola";"T129-2-1";"Alkalibacterium putridalgicola";"20215";

"2244";"DSM 19181, NBRC 103241, NRIC 0718";"Alkalibacterium thalassium";"T117-1-2";"Alkalibacterium thalassium";"20215";

"132684";"DSM 102975, ATCC BAA 2361, CCUG 60119, NCTC 13503";"Allofrancisella guangzhouensis";"08HL01032";"Allofrancisella guangzhouensis";"20215";

"2248";"DSM 15817, CCUG 45438, CIP 107425";"Allofustis seminis";"01-570-1";"Allofustis seminis";"20215";

"147174";"CCUG 32997";"Alloiococcus otitis";"";"Alloiococcus otitis";"20215";

"151694";"CCUG 44657";"Alloiococcus otitis";"";"Alloiococcus otitis";"20215";

"1767";"DSM 21503, CCUG 31649, LMG 23792, CIP 109610";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"141805";"CCUG 7132";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"144874";"CCUG 26938";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"151516";"CCUG 44187";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"153182";"CCUG 48667";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"153671";"CCUG 50589";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"154585";"CCUG 54474";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"156789";"CCUG 65230";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"156981";"CCUG 68090";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"145014";"CCUG 27412 A";"Alloscardovia omnicolens";"";"Alloscardovia omnicolens";"20215";

"7516";"DSM 23737, LMG 26215";"Alpinimonas psychrophila";"Cr8-25";"Alpinimonas psychrophila";"20215";

"10434";"IAM 14895, DSM 16848, ATCC 15532, CCUG 3710, CIP 103342, LMG 6455, NCTC 10282";"Alysiella filiformis";"";"Alysiella filiformis";"20215";

"23741";"DSM 27992, JCM 17250, NCIMB 14686";"Amphibacillus indicireducens";"C40";"Amphibacillus indicireducens";"20215";

"3755";"DSM 21875, ATCC BAA 258";"Anaeromyxobacter dehalogenans";"2CP-1";"Anaeromyxobacter dehalogenans";"20215";

"3756";"DSM 21876";"Anaeromyxobacter dehalogenans";"K";"Anaeromyxobacter dehalogenans";"20215";

"3757";"DSM 21877, ATCC BAA 259";"Anaeromyxobacter dehalogenans";"2CP-C";"Anaeromyxobacter dehalogenans";"20215";

"3758";"DSM 21878";"Anaeromyxobacter dehalogenans";"FRC-W";"Anaeromyxobacter dehalogenans";"20215";

"11401";"DSM 18919, CIP 108308, KCTC 13001, LMG 22483";"Aneurinibacillus terranovensis";"Logan B-1599, R-12870";"Aneurinibacillus terranovensis";"20215";

"140874";"NRRL B-65307, NCIMB 14986";"Apibacter adventoris";"wkB301";"Apibacter adventoris";"20215";

"145461";"CCUG 28598";"Aquabacterium fontiphilum";"";"Aquabacterium fontiphilum";"20215";

"146756";"CCUG 32071";"Aquabacterium sp.";"";"Aquabacterium sp.";"20215";

"10435";"DSM 68, ATCC 12638, CCUG 2092, NCTC 10593, LMG 3734, NRRL B-2045, CIP 63.19";"Aquaspirillum serpens";"";"Aquaspirillum serpens";"20215";

"140473";"CCTCC AB 2016081, KACC 18846";"Aquaspirillum soli";"THG-SQE6";"Aquaspirillum soli";"20215";

"3246";"DSM 16500, CIP 107650, LMG 21647, CCUG 48880";"Aquicella lusitana";"SGT-39";"Aquicella lusitana";"20215";

"3247";"CCUG 48881, DSM 17428, CIP 107651, LMG 21648";"Aquicella siphonis";"SGT-108";"Aquicella siphonis";"20215";

"204";"DSM 25104, CCM 7958, CCUG 61573, CIP 110339";"Arcanobacterium canis";"P6775";"Arcanobacterium canis";"20215";

"198";"DSM 22856";"Arcanobacterium haemolyticum";"1656, ATCC BAA-1784";"Arcanobacterium haemolyticum";"20215";

"142621";"CCUG 13382";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"137157";"CIP 81.16, NCTC 9697, CCUG 17214";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"148473";"CCUG 35519";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"150384";"CCUG 39796";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"152226";"CCUG 46169";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"152473";"CCUG 46894";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"152718";"CCUG 47464";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"152829";"CCUG 47724";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"153083";"CCUG 48440";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"153504";"CCUG 49945";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"154070";"CCUG 52231";"Arcanobacterium haemolyticum";"";"Arcanobacterium haemolyticum";"20215";

"203";"DSM 15539, CCUG 44697, CIP 106850";"Arcanobacterium hippocoleae";"M401624/00/2";"Arcanobacterium hippocoleae";"20215";

"201";"DSM 10004, CCUG 39900";"Arcanobacterium phocae";"M2546/94/1";"Arcanobacterium phocae";"20215";

"151664";"CCUG 44563";"Arcanobacterium phocae";"";"Arcanobacterium phocae";"20215";

"151665";"CCUG 44564";"Arcanobacterium phocae";"";"Arcanobacterium phocae";"20215";

"151667";"CCUG 44568";"Arcanobacterium phocae";"";"Arcanobacterium phocae";"20215";

"151982";"CCUG 45428";"Arcanobacterium phocae";"";"Arcanobacterium phocae";"20215";

"151983";"CCUG 45429";"Arcanobacterium phocae";"";"Arcanobacterium phocae";"20215";

"22902";"DSM 26142, CCM 8430, LMG 27073";"Arcanobacterium phocisimile";"2698";"Arcanobacterium phocisimile";"20215";

"202";"DSM 13483, CCUG 42575, CIP 106442";"Arcanobacterium pluranimalium";"M430/94/2";"Arcanobacterium pluranimalium";"20215";

"150606";"CCUG 41729";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"151797";"CCUG 44916";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"151798";"CCUG 44917";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"151799";"CCUG 44918";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"151979";"CCUG 45425";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"151980";"CCUG 45426";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"151981";"CCUG 45427";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"155888";"CCUG 59552";"Arcanobacterium pluranimalium";"";"Arcanobacterium pluranimalium";"20215";

"154378";"CCUG 53298";"Arcanobacterium sp.";"";"Arcanobacterium sp.";"20215";

"154379";"CCUG 53299";"Arcanobacterium sp.";"";"Arcanobacterium sp.";"20215";

"2094";"DSM 8739, ATCC 49616, CDC D2686, LMG 10828, WDCM 00065, CCUG 30485, NCTC 12481";"Arcobacter butzleri";"RM4018";"Arcobacter butzleri";"20215";

"2093";"DSM 7301, CCUG 10373, LMG 6620";"Arcobacter butzleri";"WRI 996/79";"Arcobacter butzleri";"20215";

"146961";"CCUG 32549";"Arcobacter butzleri";"";"Arcobacter butzleri";"20215";

"153919";"CCUG 51647";"Arcobacter butzleri";"";"Arcobacter butzleri";"20215";

"147861";"CCUG 34397 B";"Arcobacter butzleri";"";"Arcobacter butzleri";"20215";

"2096";"DSM 17680, CCUG 48482, LMG 21996, CIP 108697, CECT 7203";"Arcobacter cibarius";"KH-2";"Arcobacter cibarius";"20215";

"2091";"DSM 7289, A169/B, ATCC 43158, CCUG 17801, LMG 7536, NCTC 11885, WDCM 00066, MCCM 00660";"Arcobacter cryaerophilus";"02766, MCCM 00660";"Arcobacter cryaerophilus";"20215";

"143214";"CCUG 17802, LMG 9861";"Arcobacter cryaerophilus";"";"Arcobacter cryaerophilus";"20215";

"143215";"CCUG 17803, LMG 9862";"Arcobacter cryaerophilus";"";"Arcobacter cryaerophilus";"20215";

"143216";"CCUG 17807";"Arcobacter cryaerophilus";"";"Arcobacter cryaerophilus";"20215";

"22945";"DSM 25359, CECT 7697, LMG 25694";"Arcobacter defluvii";"SW28-11";"Pseudarcobacter defluvii";"20215";

"156895";"CCUG 66484, LMG 28519";"Arcobacter faecis";"";"Arcobacter faecis";"20215";

"2097";"CCUG 53805, DSM 18005, ATCC BAA 1022, CIP 108450";"Arcobacter halophilus";"LA31B";"Malaciobacter halophilus";"20215";

"156896";"CCUG 66485, LMG 28516";"Arcobacter lanthieri";"";"Arcobacter lanthieri";"20215";

"156897";"LMG 28515, CCUG 66486";"Arcobacter lanthieri";"";"Arcobacter lanthieri";"20215";

"156898";"LMG 28517, CCUG 66487";"Arcobacter lanthieri";"";"Arcobacter lanthieri";"20215";

"132928";"DSM 100870, CECT 8942";"Arcobacter lekithochrous";"LFT 1.7";"Poseidonibacter lekithochrous";"20215";

"2098";"DSM 23625, CECT 7386, LMG 24559";"Arcobacter mytili";"F2075";"Malaciobacter mytili";"20215";

"2092";"CCUG 15892, CECT 7204, DSM 7299, ATCC 33309, CCUG 15893, CI, LMG 7604, NCTC 12251";"Arcobacter nitrofigilis";"";"Arcobacter nitrofigilis";"20215";

"155204";"CCUG 56899, LMG 24487";"Arcobacter porcinus";"";"";"";

"2095";"DSM 7302, ATCC 51132, CCUG 10374, LMG 6621, WCDM 00067";"Arcobacter skirrowii";"WRI 449/80";"Arcobacter skirrowii";"20215";

"2099";"DSM 23385, CCUG 56902, LMG 24486";"Arcobacter thereius";"strain 16389";"Arcobacter thereius";"20215";

"2101";"DSM 25469, LMG 25534, CCUG 59229, CIP 110286";"Arcobacter trophiarum";"64, 64/2-45d5/R-39974, CCUG 59229";"Arcobacter trophiarum";"20215";

"155762";"CCUG 59230, LMG 25535";"Arcobacter trophiarum";"";"Arcobacter trophiarum";"20215";

"6241";"DSM 22760, NBRC 105830, CCUG 63821";"Arsenicicoccus piscis";"Kis4-19";"Arsenicicoccus piscis";"20215";

"154952";"CCUG 55842";"Arthrobacter sp.";"";"Arthrobacter sp.";"20215";

"151663";"CCUG 44562";"Atopobacter phocae";"";"Atopobacter phocae";"20215";

"130159";"DSM 100027";"Aureimonas altamirensis";"Dres_AurAlta_01";"Aureimonas altamirensis";"20215";

"139618";"DSM 29985, CIP 110892, LMG 28655";"Aureimonas galii";"PP-WC-4G-234";"Aureimonas galii";"20215";

"132997";"DSM 102238, CCM 8665, LMG 29411";"Aureimonas pseudogalii";"PP-CE-2G-454";"Aureimonas pseudogalii";"20215";

"156742";"CCUG 64738";"Auritidibacter sp.";"";"Auritidibacter sp.";"20215";

"144754";"CCUG 26458";"Avibacterium avium";"";"Avibacterium avium";"20215";

"11692";"DSM 17481, ATCC 13361, NCTC 11188, CCUG 12391, CIP 102676";"Avibacterium gallinarum";"";"Avibacterium gallinarum";"20215";

"11694";"DSM 18554, CCM 6075, CCUG 12835, CIP 103453, HIM 668-7, ATCC 29545, NCTC 11296";"Avibacterium paragallinarum";"IPDH 2403";"Avibacterium paragallinarum";"20215";

"148833";"CCUG 36041, MCCM 01288";"Avibacterium paragallinarum";"";"Avibacterium paragallinarum";"20215";

"148834";"CCUG 36042, MCCM 01270";"Avibacterium paragallinarum";"";"Avibacterium paragallinarum";"20215";

"153747";"CCUG 50854, MCCM 01271";"Avibacterium paragallinarum";"";"Avibacterium paragallinarum";"20215";

"153746";"CCUG 50852, MCCM 01290";"Avibacterium paragallinarum";"";"Avibacterium paragallinarum";"20215";

"153748";"CCUG 50855, MCCM 01272";"Avibacterium paragallinarum";"";"Avibacterium paragallinarum";"20215";

"153749";"CCUG 50856, MCCM 01303";"Avibacterium paragallinarum";"";"Avibacterium paragallinarum";"20215";

"11696";"DSM 22841, ATCC 14385, CCUG 3713, CIP 102677, NCTC 3438";"Avibacterium volantium";"Lovell 6";"Avibacterium volantium";"20215";

"142080";"CCUG 10488, CCUG 34302, ATCC 51563, LMG 6115";"Azospira oryzae";"";"Azospira oryzae";"20215";

"142602";"CCUG 13232, CCUG 34304, ATCC 51564, LMG 6116";"Azospira oryzae";"";"Azospira oryzae";"20215";

"156720";"CCUG 64447";"Azospira oryzae";"";"Azospira oryzae";"20215";

"155579";"CCUG 58226";"Bacillus arbutinivorans";"";"";"";

"152441";"CCUG 46794";"Bacillus benzoevorans";"";"Bacillus benzoevorans";"20215";

"153454";"CCUG 49659";"Bacillus circulans";"";"Bacillus circulans";"20215";

"154332";"CCUG 53139";"Bacillus halodurans";"";"Bacillus halodurans";"20215";

"154586";"CCUG 54478";"Bacillus humi";"";"Bacillus humi";"20215";

"153391";"CCUG 49425";"Bacillus macroides";"";"";"";

"130180";"DSM 26460, CGMCC 1.5179";"Bacillus oryziterrae";"ZYK";"Bacillus oryziterrae";"20215";

"155159";"CCUG 56623";"Bacillus pumilus";"";"Bacillus pumilus";"20215";

"154498";"CCUG 53918";"Bacillus simplex";"";"Bacillus simplex";"20215";

"155532";"CCUG 58026";"Bacillus simplex";"";"Bacillus simplex";"20215";

"155533";"CCUG 58027";"Bacillus simplex";"";"Bacillus simplex";"20215";

"155578";"CCUG 58222";"Bacillus simplex";"";"Bacillus simplex";"20215";

"149676";"CCUG 38165";"Bacillus sp.";"";"Bacillus sp.";"20215";

"152531";"CCUG 47011";"Bacillus sp.";"";"Bacillus sp.";"20215";

"152700";"CCUG 47408";"Bacillus sp.";"";"Bacillus sp.";"20215";

"152910";"CCUG 47952";"Bacillus sp.";"";"Bacillus sp.";"20215";

"152935";"CCUG 48063";"Bacillus sp.";"";"Bacillus sp.";"20215";

"152977";"CCUG 48169";"Bacillus sp.";"";"Bacillus sp.";"20215";
