"tax_id","org_name","growth_tmp","ref_type","reference"
714,"actinobacillus_actinomycetemcomitans",36,"doi","doi.org/10.1186/s12866-018-1320-7"
221404,"actinobacillus_anseriformium",37,"doi","doi.org/10.1186/s12866-018-1320-7"
157339,"actinobacillus_arthritidis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
717,"actinobacillus_capsulatus",37,"doi","doi.org/10.1186/s12866-018-1320-7"
51161,"actinobacillus_delphinicola",37,"doi","doi.org/10.1186/s12866-018-1320-7"
718,"actinobacillus_equuli",37,"doi","doi.org/10.1186/s12866-018-1320-7"
719,"actinobacillus_hominis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
51049,"actinobacillus_indolicus",37,"doi","doi.org/10.1186/s12866-018-1320-7"
720,"actinobacillus_lignieresii",37,"doi","doi.org/10.1186/s12866-018-1320-7"
51047,"actinobacillus_minor",37,"doi","doi.org/10.1186/s12866-018-1320-7"
67855,"actinobacillus_muris",37,"doi","doi.org/10.1186/s12866-018-1320-7"
715,"actinobacillus_pleuropneumoniae",37,"doi","doi.org/10.1186/s12866-018-1320-7"
51048,"actinobacillus_porcinus",37,"doi","doi.org/10.1186/s12866-018-1320-7"
123820,"actinobacillus_rossii",37,"doi","doi.org/10.1186/s12866-018-1320-7"
721,"actinobacillus_salpingitidis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
182182,"actinobacillus_scotiae",37,"doi","doi.org/10.1186/s12866-018-1320-7"
722,"actinobacillus_seminis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
41114,"actinobacillus_sp",35,"doi","doi.org/10.1186/s12866-018-1320-7"
67854,"actinobacillus_succinogenes",34,"doi","doi.org/10.1186/s12866-018-1320-7"
716,"actinobacillus_suis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
723,"actinobacillus_ureae",37,"doi","doi.org/10.1186/s12866-018-1320-7"
1659,"actinobacterium_israeli",37,"doi","doi.org/10.1186/s12866-018-1320-7"
202789,"actinobaculum_massiliense",37,"doi","doi.org/10.1186/s12866-018-1320-7"
59505,"actinobaculum_schaalii",37,"doi","doi.org/10.1186/s12866-018-1320-7"
1657,"actinobaculum_suis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
190146,"actinobaculum_urinale",37,"doi","doi.org/10.1186/s12866-018-1320-7"
35622,"actinobifida_chromogena",50,"doi","doi.org/10.1186/s12866-018-1320-7"
75291,"actinobispora_alaniniphila",29,"doi","doi.org/10.1186/s12866-018-1320-7"
75290,"actinobispora_aurantiaca",28,"doi","doi.org/10.1186/s12866-018-1320-7"
75289,"actinobispora_xinjiangensis",29,"doi","doi.org/10.1186/s12866-018-1320-7"
