"org_name","tax_id","sporulation","gram_stain","metabolism","cell_shape","motility","ref_type","reference"
"Xanthobacter autotrophicus",280,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Opitutaceae bacterium TAV5",794903,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Comamonas testosteroni",285,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Streptococcus infantarius",102684,"0","1",NA,"coccus","no","doi","doi.org/10.1093/nar/gkw964"
"Sphingobium japonicum",332056,"0","0","strictaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas aeruginosa",287,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudoalteromonas atlantica",288,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Kinetoplastibacterium crithidii",33056,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Saccharophagus degradans",86304,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Acidithiobacillus caldus",33059,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Burkholderia cepacia",292,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Brevundimonas diminuta",293,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas fluorescens",294,"0","0","strictaero","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Succinispira mobilis",78120,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycobacterium avium complex",37162,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas mendocina",300,"0","0",NA,"bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Photorhabdus asymbiotica",291112,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas viridiflava",33069,"0","0","strictaero","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Pseudomonas putida",303,"0","0",NA,"bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
