"tax_id","org_name","metabolism","ref_type","reference"
1018,"Capnocytophaga ochracea","microaerophilic","doi","doi.org/10.1093/nar/gky879"
44737,"Capnocytophaga sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1019,"Capnocytophaga sputigena","microaerophilic","doi","doi.org/10.1093/nar/gky879"
2718,"Cardiobacterium hominis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
194702,"Cardiobacterium valvarum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
2748,"Carnobacterium divergens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1266845,"Carnobacterium inhibens subsp. gilichinskyi","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1758721,"Carnobacterium inhibens subsp. inhibens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
147709,"Carnobacterium inhibens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
545534,"Carnobacterium jeotgali","microaerophilic","doi","doi.org/10.1093/nar/gky879"
2751,"Carnobacterium maltaromaticum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
2750,"Carnobacterium mobile","microaerophilic","doi","doi.org/10.1093/nar/gky879"
48221,"Carnobacterium sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
300419,"Catellicoccus marimammalium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
144055,"Cellulomonas humilata","microaerophilic","doi","doi.org/10.1093/nar/gky879"
40001,"Cellulomonas sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1710,"Cellulosimicrobium cellulans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
505317,"Chelonobacter oris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
420404,"Chryseobacterium hominis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
237258,"Cloacibacterium normanense","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1506,"Clostridium sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1559,"Clostridium tertium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
