isolate.code,name,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,bv,bv.choice
527,Volvox aureus  strain UTEX LB106,,,UTEX LB106,,aureus,Volvox,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.117604,3
529,"Pandorina morum strain UTEX 18, CCAP 60/1b",,,"UTEX 18, CCAP 60/1b",,morum,Pandorina,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.565894687,1
530,"Pleodorina californica strain UTEX LB198, SAG 162-1",Eudorina californica,,"UTEX LB198, SAG 162-1",,californica,Pleodorina,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.347789,4
531,"Pediastrum boryanum var. cornutum strain UTEX LB470, SAG 261-3a",Pediastrum duplex,,"UTEX LB470, SAG 261-3a",,boryanum,Pediastrum,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.290483673,1
532,"Haematococcus droebakensis strain UTEX LB55, CCAP 34/2C",,,"UTEX LB55, CCAP 34/2C",,droebakensis,Haematococcus,Haematococcaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,3.682476,3
533,"Cosmarium botrytis strain UTEX 301, SAG 136.80",,,"UTEX 301, SAG 136.80",,botrytis,Cosmarium,Desmidiaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae,Eukaryota,2.3881881,3
534,Chlamydomonas globosa,,,,,globosa,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.133040988,1
535,Lobochlamys segnis,Chlamydomonas intermedia,Chlamydomonas segnis,,,segnis,Lobochlamys,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.191245447,4
536,Chlamydomonas subcaudata,,,,,subcaudata,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.191245447,3
537,Chlamydomonas alpina,Chloromonas alpina,,,,alpina,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.191245447,3
538,Chlorella sp. strain 580,,,580,,,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,2.013915739,1
539,Microcystis flos-aquae,,,,,flos-aquae,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.631033705,3
540,Chroococcus minutus,,,,,minutus,Chroococcus,Chroococcaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.520233785,1
541,Planktothrix agardhii,,,,,agardhii,Planktothrix,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.5607547,1
