ORGANISM_ID	TERM
2302	Aquatic
2308	Sediment
2308	Fresh water
2308	Aquatic
1337	Host
1342	Fresh water
1346	Host
1373	Marine
1386	Host
1395	Host
1399	Host
1445	Oral cavity
1445	Host
1447	Mammalian gastrointestinal tract
1447	Human intestinal microflora
1447	Host
1447	Birds intestinal microflora
1480	Vagina
1480	Human intestinal microflora
1480	Host
1491	Host
24478	Host
103923	Marine
103923	Estuaries
28995	Soil
25776	Root nodule
25776	Plant root
25776	Host
25823	Plant root
25823	Host
29906	Fresh water
29906	Aquatic
29031	Aquatic
29057	Sediment
36637	Soil
19380	Host
19380	Aquatic
19380	Acid mine drainage
19919	Soil
19919	Host
19476	Soil
19476	Fresh water
20577	Marine
20577	Aquatic
20639	Human oral cavity
20639	Host
25852	Plant root
25852	Host
25859	Plant root
25859	Host
70918	Soil
70918	Host
70918	Fresh water
36960	Root nodule
36960	Host
24852	Soil
30041	Soil
30046	Soil
29189	Host
29280	Soil
29330	Mud
29398	Soil
